source_id,site_id,market_type,name,district,market_committee,state,latitude,longitude,coords_usable,coord_flags,storage_godowns,storage_capacity,shops,opens,closes,raw_lat,raw_lon,image_url,source_url,retrieved_on
us-80,65,Uzhavar Santhai,Edapadi,Salem,,Tamil Nadu,11.5842,77.838852,True,ok,,,36,5:00 AM,10:00 AM,11.5842,77.838852,http://www.agrimark.tn.gov.in/MRS/uploads/us/65.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-81,129,Uzhavar Santhai,Thirumangalam,Madurai,,Tamil Nadu,9.825399,77.980264,True,ok,,,80,5:30 AM,1:30 PM,9.8253992,77.980264,http://www.agrimark.tn.gov.in/MRS/uploads/us/129.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-82,131,Uzhavar Santhai,Anaiyur,Madurai,,Tamil Nadu,9.961923,78.102122,True,ok,,,45,5:30 AM,1:30 PM,09.961923,78.102122,http://www.agrimark.tn.gov.in/MRS/uploads/us/131.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-83,57,Uzhavar Santhai,Athur,Salem,,Tamil Nadu,11.59435,78.610773,True,ok,,,109,4:00 AM,10:30 AM,11.59435,78.610773,http://www.agrimark.tn.gov.in/MRS/uploads/us/57.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-84,55,Uzhavar Santhai,Sooramangalam,Salem,,Tamil Nadu,11.670244,78.116096,True,ok,,,187,4:00 AM,10:30 AM,11.670244,78.116096,http://www.agrimark.tn.gov.in/MRS/uploads/us/55.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-85,153,Uzhavar Santhai,Srivilliputhur,Virudhunagar,,Tamil Nadu,9.514207,77.633654,True,ok,,,48,6:00 AM,2:00 PM,9.514207,77.633654,http://www.agrimark.tn.gov.in/MRS/uploads/us/153.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-86,60,Uzhavar Santhai,Attayampatti,Salem,,Tamil Nadu,11.533955,78.049487,True,ok,,,48,4:00 AM,10:30 AM,11.533955,78.049487,http://www.agrimark.tn.gov.in/MRS/uploads/us/60.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-87,59,Uzhavar Santhai,Mettur,Salem,,Tamil Nadu,11.786073,77.79673,True,ok,,,80,4:00 AM,12:00 PM,11.786073,77.79673,http://www.agrimark.tn.gov.in/MRS/uploads/us/591.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-88,61,Uzhavar Santhai,Hasthampatti,Salem,,Tamil Nadu,11.67563,78.1614,True,ok,,,69,4:00 AM,10:30 AM,11.675630,78.161400,http://www.agrimark.tn.gov.in/MRS/uploads/us/61.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-89,130,Uzhavar Santhai,Melur,Madurai,,Tamil Nadu,10.034886,78.343941,True,ok,,,46,5:30 AM,1:30 PM,10.034886,78.343941,http://www.agrimark.tn.gov.in/MRS/uploads/us/130.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-90,62,Uzhavar Santhai,Elampillai,Salem,,Tamil Nadu,11.603903,78.00493,True,ok,,,65,4:00 AM,10:30 AM,11.603903,78.00493,http://www.agrimark.tn.gov.in/MRS/uploads/us/622.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-91,63,Uzhavar Santhai,Thammampatti,Salem,,Tamil Nadu,11.445794,78.484382,True,ok,,,36,4:00 AM,10:30 AM,11.445794,78.484382,http://www.agrimark.tn.gov.in/MRS/uploads/us/63.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-92,64,Uzhavar Santhai,Jalagandapuram,Salem,,Tamil Nadu,11.694738,78.875738,True,review_distance_79km,,,74,4:00 AM,10:30 AM,11.694738,78.875738,http://www.agrimark.tn.gov.in/MRS/uploads/us/64.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-93,104,Uzhavar Santhai,Thanjavur,Thanjavur,,Tamil Nadu,10.765014,79.140756,True,ok,,,71,6:00 AM,1:00 PM,10.765014,79.140756,http://www.agrimark.tn.gov.in/MRS/uploads/us/104.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-94,41,Uzhavar Santhai,Tiruvannamalai,Thiruvannamalai,,Tamil Nadu,12.236686,79.07503,True,ok,,,109,5:00 AM,1:00 PM,12.236686,79.07503,http://www.agrimark.tn.gov.in/MRS/uploads/us/41.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-95,90,Uzhavar Santhai,Anna Nagar,Tiruchirapalli,,Tamil Nadu,10.813334,78.683348,True,ok,,,95,5:00 AM,1:00 PM,10.813334,78.683348,http://www.agrimark.tn.gov.in/MRS/uploads/us/90.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-96,91,Uzhavar Santhai,K.K.Nagar,Tiruchirapalli,,Tamil Nadu,10.758225,78.681718,True,ok,,,77,5:30 AM,1:30 PM,10.758225,78.681718,http://www.agrimark.tn.gov.in/MRS/uploads/us/911.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-97,95,Uzhavar Santhai,Thiruverumbur,Tiruchirapalli,,Tamil Nadu,10.769522,78.797497,True,ok,,,24,5:00 AM,1:00 PM,10.769522,78.797497,http://www.agrimark.tn.gov.in/MRS/uploads/us/95.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-98,94,Uzhavar Santhai,Musiri,Tiruchirapalli,,Tamil Nadu,10.979713,78.445991,True,ok,,,40,5:00 AM,1:00 PM,10.979713,78.445991,http://www.agrimark.tn.gov.in/MRS/uploads/us/94.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-99,96,Uzhavar Santhai,Lalgudi,Tiruchirapalli,,Tamil Nadu,10.871449,78.817421,True,ok,,,20,5:00 AM,1:00 PM,10.871449,78.817421,http://www.agrimark.tn.gov.in/MRS/uploads/us/96.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-100,92,Uzhavar Santhai,Thuraiyur,Tiruchirapalli,,Tamil Nadu,11.137061,78.591865,True,ok,,,40,5:00 AM,1:00 PM,11.137061,78.591865,http://www.agrimark.tn.gov.in/MRS/uploads/us/92.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-101,93,Uzhavar Santhai,Manapparai,Tiruchirapalli,,Tamil Nadu,10.608552,78.420812,True,ok,,,52,5:00 AM,1:00 PM,10.6085521,78.420812,http://www.agrimark.tn.gov.in/MRS/uploads/us/93.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-102,97,Uzhavar Santhai,Karur,Karur,,Tamil Nadu,10.95614,78.078679,True,ok,,,60,5:00 AM,12:00 PM,10.95614,78.078679,http://www.agrimark.tn.gov.in/MRS/uploads/us/97.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-103,98,Uzhavar Santhai,Kulithalai,Karur,,Tamil Nadu,10.567702,78.257809,True,ok,,,30,5:00 AM,12:00 PM,10.567702,78.257809,http://www.agrimark.tn.gov.in/MRS/uploads/us/98.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-104,100,Uzhavar Santhai,Pallapatti.,Karur,,Tamil Nadu,10.354372,77.523416,True,review_distance_91km,,,24,5:00 AM,12:00 PM,10.354372,77.523416,http://www.agrimark.tn.gov.in/MRS/uploads/us/100.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-105,101,Uzhavar Santhai,Vengamedu,Karur,,Tamil Nadu,10.972852,77.523416,True,review_distance_61km,,,20,5:00 AM,12:00 PM,10.972852,77.523416,http://www.agrimark.tn.gov.in/MRS/uploads/us/101.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-106,99,Uzhavar Santhai,Velayuthampalayam,Karur,,Tamil Nadu,11.074372,78.003416,True,ok,,,26,5:00 AM,12:00 PM,11.074372,78.003416,http://www.agrimark.tn.gov.in/MRS/uploads/us/99.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-107,34,Uzhavar Santhai,Vaniyampadi,Tirupattur,,Tamil Nadu,12.680753,78.616815,True,ok,,,100,4:00 AM,12:00 PM,12.680753,78.616815,http://www.agrimark.tn.gov.in/MRS/uploads/us/34.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-108,39,Uzhavar Santhai,Tirupathur,Tirupattur,,Tamil Nadu,12.486677,78.561993,True,ok,,,46,4:00 AM,12:00 PM,12.486677,78.561993,http://www.agrimark.tn.gov.in/MRS/uploads/us/39.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-109,40,Uzhavar Santhai,Natrampalli,Tirupattur,,Tamil Nadu,12.591989,78.515387,True,ok,,,24,4:00 AM,12:00 PM,12.591989,78.515387,http://www.agrimark.tn.gov.in/MRS/uploads/us/40.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-110,160,Uzhavar Santhai,Palayamkottai,Tirunelveli,,Tamil Nadu,8.70812,77.74759,True,ok,,,100,5:00 AM,1:00 PM,8.708120,77.747590,http://www.agrimark.tn.gov.in/MRS/uploads/us/160.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-111,163,Uzhavar Santhai,Melapalayam,Tirunelveli,,Tamil Nadu,8.702851,77.714502,True,ok,,,36,5:00 AM,1:00 PM,8.702851,77.714502,http://www.agrimark.tn.gov.in/MRS/uploads/us/1631.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-112,32,Uzhavar Santhai,Vellore,Vellore,,Tamil Nadu,12.897573,79.131492,True,ok,,,82,4:00 AM,1:00 PM,12.897573,79.131492,http://www.agrimark.tn.gov.in/MRS/uploads/us/321.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-113,162,Uzhavar Santhai,Kandiyaperi,Tirunelveli,,Tamil Nadu,8.73091,77.68247,True,ok,,,80,5:00 AM,1:00 PM,8.73091,77.68247,http://www.agrimark.tn.gov.in/MRS/uploads/us/162.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-114,35,Uzhavar Santhai,Gudiyatham,Vellore,,Tamil Nadu,12.947427,78.869621,True,ok,,,60,4:00 AM,1:00 PM,12.947427,78.869621,http://www.agrimark.tn.gov.in/MRS/uploads/us/35.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-115,164,Uzhavar Santhai,Ambasamudram,Tirunelveli,,Tamil Nadu,8.71118,77.456566,True,ok,,,36,5:00 AM,1:00 PM,8.71118,77.4565660,http://www.agrimark.tn.gov.in/MRS/uploads/us/164.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-116,36,Uzhavar Santhai,Kahithapattarai,Vellore,,Tamil Nadu,12.933333,79.148611,True,ok,,,56,4:00 AM,1:00 PM,12.933333,79.148611,http://www.agrimark.tn.gov.in/MRS/uploads/us/36.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-117,151,Uzhavar Santhai,Aruppukottai,Virudhunagar,,Tamil Nadu,9.508706,78.090737,True,ok,,,72,5:00 AM,3:00 PM,9.508706,78.090737,http://www.agrimark.tn.gov.in/MRS/uploads/us/1511.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-118,161,Uzhavar Santhai,Tenkasi,Tenkasi,,Tamil Nadu,8.974149,77.301364,True,ok,,,24,5:00 AM,1:00 PM,8.974149,77.301364,http://www.agrimark.tn.gov.in/MRS/uploads/us/1611.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-119,33,Uzhavar Santhai,Katpadi,Vellore,,Tamil Nadu,12.973549,79.137159,True,ok,,,72,4:00 AM,1:00 PM,12.973549,79.137159,http://www.agrimark.tn.gov.in/MRS/uploads/us/33.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-120,157,Uzhavar Santhai,Kariyapatti,Virudhunagar,,Tamil Nadu,9.674824,78.103513,True,ok,,,24,6:00 AM,2:00 PM,9.674824,78.103513,http://www.agrimark.tn.gov.in/MRS/uploads/us/157.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-121,167,Uzhavar Santhai,Vadaseri,Kanniyakumari,,Tamil Nadu,8.19049,77.43156,True,ok,,,80,5:00 AM,1:00 PM,8.1904900,77.431560,http://www.agrimark.tn.gov.in/MRS/uploads/us/167.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-122,86,Uzhavar Santhai,Krishnagiri,Krishnagiri,,Tamil Nadu,12.31474,78.13264,True,repaired_format,,,72,5:00 AM,12:00 PM,N12.31474,E078.13264,http://www.agrimark.tn.gov.in/MRS/uploads/us/862.png,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-123,168,Uzhavar Santhai,Myladi,Kanniyakumari,,Tamil Nadu,8.15386,77.50523,True,ok,,,60,5:00 AM,1:00 PM,8.1538600,77.505230,http://www.agrimark.tn.gov.in/MRS/uploads/us/168.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-124,148,Uzhavar Santhai,Ramanathapuram,Ramanathapuram,,Tamil Nadu,9.36407,78.837412,True,ok,,,48,6:00 AM,12:00 PM,09.36407,78.837412,http://www.agrimark.tn.gov.in/MRS/uploads/us/148.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-125,149,Uzhavar Santhai,Paramakudi,Ramanathapuram,,Tamil Nadu,9.543431,78.589333,True,ok,,,70,6:00 AM,12:00 PM,09.543431,78.589333,http://www.agrimark.tn.gov.in/MRS/uploads/us/149.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-126,150,Uzhavar Santhai,Kamuthi,Ramanathapuram,,Tamil Nadu,9.405342,78.367602,True,ok,,,24,6:00 AM,1:30 PM,09.405342,78.367602,http://www.agrimark.tn.gov.in/MRS/uploads/us/150.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-127,102,Uzhavar Santhai,Perambalur,Perambalur,,Tamil Nadu,11.24177,78.866254,True,ok,,,74,5:00 AM,12:00 PM,11.241770,78.866254,http://www.agrimark.tn.gov.in/MRS/uploads/us/102.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
